Country,Continent,ISO_Code,Level,GDLCODE,Region,Year,surfacetempyear
Latvia,Europe,LVA,National,LVAt,Total,2022,7.334
Lebanon,Asia/Pacific,LBN,National,LBNt,Total,2022,16.83
Lesotho,Africa,LSO,National,LSOt,Total,2022,11.73
Liberia,Africa,LBR,National,LBRt,Total,2022,25.59
Libya,Africa,LBY,National,LBYt,Total,2022,22.45
Liechtenstein,Europe,LIE,National,LIEt,Total,2022,7.386
Lithuania,Europe,LTU,National,LTUt,Total,2022,7.878
Luxembourg,Europe,LUX,National,LUXt,Total,2022,10.73
Madagascar,Africa,MDG,National,MDGt,Total,2022,21.89
Malawi,Africa,MWI,National,MWIt,Total,2022,22.27
Malaysia,Asia/Pacific,MYS,National,MYSt,Total,2022,26.48
Mali,Africa,MLI,National,MLIt,Total,2022,28.72
Mauritania,Africa,MRT,National,MRTt,Total,2022,28.79
Mauritius,Africa,MUS,National,MUSt,Total,2022,24.13
Mexico,America,MEX,National,MEXt,Total,2022,20.91
"Micronesia, Fed. Sts.",Asia/Pacific,FSM,National,FSMt,Total,2022,27.16
Moldova,Europe,MDA,National,MDAt,Total,2022,11.38
Monaco,Europe,MCO,National,MCOt,Total,2022,16.38
Mongolia,Asia/Pacific,MNG,National,MNGt,Total,2022,0.791
Montenegro,Europe,MNE,National,MNEt,Total,2022,12.19
Morocco,Africa,MAR,National,MARt,Total,2022,19.47
Mozambique,Africa,MOZ,National,MOZt,Total,2022,23.99
Myanmar,Asia/Pacific,MMR,National,MMRt,Total,2022,25.04
Namibia,Africa,NAM,National,NAMt,Total,2022,22.14
Nepal,Asia/Pacific,NPL,National,NPLt,Total,2022,13.72
Netherlands,Europe,NLD,National,NLDt,Total,2022,11.53
"New Zealand",Asia/Pacific,NZL,National,NZLt,Total,2022,12.39
Nicaragua,America,NIC,National,NICt,Total,2022,25.64
Niger,Africa,NER,National,NERt,Total,2022,28.04
Nigeria,Africa,NGA,National,NGAt,Total,2022,26.89
"North Macedonia",Europe,MKD,National,MKDt,Total,2022,11.79
Norway,Europe,NOR,National,NORt,Total,2022,4.28
Oman,Asia/Pacific,OMN,National,OMNt,Total,2022,28.09
Pakistan,Asia/Pacific,PAK,National,PAKt,Total,2022,16.89
Pakistan,Asia/Pacific,PRK,National,PRKt,Total,2022,7.43
Palestine,Asia/Pacific,PSE,National,PSEt,Total,2022,20.75
Panama,America,PAN,National,PANt,Total,2022,24.83
"Papua New Guinea",Asia/Pacific,PNG,National,PNGt,Total,2022,23
Paraguay,America,PRY,National,PRYt,Total,2022,22.54
Peru,America,PER,National,PERt,Total,2022,15.78
Philippines,Asia/Pacific,PHL,National,PHLt,Total,2022,26.34
Poland,Europe,POL,National,POLt,Total,2022,9.577
Portugal,Europe,PRT,National,PRTt,Total,2022,16.97
Qatar,Asia/Pacific,QAT,National,QATt,Total,2022,28.25
Romania,Europe,ROU,National,ROUt,Total,2022,11.19
"Russian Federation",Europe,RUS,National,RUSt,Total,2022,2.845
Rwanda,Africa,RWA,National,RWAt,Total,2022,19.73
"Saint Lucia",America,LCA,National,LCAt,Total,2022,26.5
Samoa,Asia/Pacific,WSM,National,WSMt,Total,2022,25.31
"San Marino",Europe,SMR,National,SMRt,Total,2022,15.66
"Sao Tome & Principe",Africa,STP,National,STPt,Total,2022,25.92
"Saudi Arabia",Asia/Pacific,SAU,National,SAUt,Total,2022,26.58
Senegal,Africa,SEN,National,SENt,Total,2022,27.64
Serbia,Europe,SRB,National,SRBt,Total,2022,12.44
"Sierra Leone",Africa,SLE,National,SLEt,Total,2022,26.26
Singapore,Asia/Pacific,SGP,National,SGPt,Total,2022,27.25
"Slovak Republic",Europe,SVK,National,SVKt,Total,2022,10.25
Slovenia,Europe,SVN,National,SVNt,Total,2022,11.43
"Solomon Islands",Asia/Pacific,SLB,National,SLBt,Total,2022,26.66
Somalia,Africa,SOM,National,SOMt,Total,2022,26.91
"South Africa",Africa,ZAF,National,ZAFt,Total,2022,17.95
"South Sudan",Africa,SSD,National,SSDt,Total,2022,28.33
Spain,Europe,ESP,National,ESPt,Total,2022,15.56
"Sri Lanka",Asia/Pacific,LKA,National,LKAt,Total,2022,26.46
"St. Kitts and Nevis",America,KNA,National,KNAt,Total,2022,26.19
"St. Vincent and the Grenadines",America,VCT,National,VCTt,Total,2022,26.37
Sudan,Africa,SDN,National,SDNt,Total,2022,28.42
Suriname,America,SUR,National,SURt,Total,2022,26.14
"Svalbard and Jan Mayen",Europe,SJM,National,SJMt,Total,2022,-6.16
Sweden,Europe,SWE,National,SWEt,Total,2022,6.425
Switzerland,Europe,CHE,National,CHEt,Total,2022,8.009
Syria,Asia/Pacific,SYR,National,SYRt,Total,2022,19.09
Tajikistan,Asia/Pacific,TJK,National,TJKt,Total,2022,6.721
Tanzania,Africa,TZA,National,TZAt,Total,2022,23.77
Thailand,Asia/Pacific,THA,National,THAt,Total,2022,26.89
"Timor Leste",Asia/Pacific,TLS,National,TLSt,Total,2022,24.84
Togo,Africa,TGO,National,TGOt,Total,2022,27.12
Tonga,Asia/Pacific,TON,National,TONt,Total,2022,25.52
"Trinidad & Tobago",America,TTO,National,TTOt,Total,2022,26.25
Tunisia,Africa,TUN,National,TUNt,Total,2022,20.72
Turkey,Asia/Pacific,TUR,National,TURt,Total,2022,12.31
Turkmenistan,Asia/Pacific,TKM,National,TKMt,Total,2022,17.35
"Turks & Caicos Islands",America,TCA,National,TCAt,Total,2022,26.35
Uganda,Africa,UGA,National,UGAt,Total,2022,23.2
Ukraine,Europe,UKR,National,UKRt,Total,2022,9.934
"United Arab Emirates",Asia/Pacific,ARE,National,AREt,Total,2022,28.85
"United Kingdom",Europe,GBR,National,GBRt,Total,2022,10.75
"United States of America",America,USA,National,USAt,Total,2022,12.05
Uruguay,America,URY,National,URYt,Total,2022,17.01
Uzbekistan,Asia/Pacific,UZB,National,UZBt,Total,2022,13.91
Vanuatu,Asia/Pacific,VUT,National,VUTt,Total,2022,26.09
"Vatican City",Europe,VAT,National,VATt,Total,2022,17.2
Venezuela,America,VEN,National,VENt,Total,2022,24.94
Vietnam,Asia/Pacific,VNM,National,VNMt,Total,2022,24.82
Yemen,Asia/Pacific,YEM,National,YEMt,Total,2022,24.12
Zambia,Africa,ZMB,National,ZMBt,Total,2022,22.04
Zimbabwe,Africa,ZWE,National,ZWEt,Total,2022,21.05
